date,received,sent,allDayReceived,allDaySent
 2016-3-1,72,232,0-0-0-0-0-0-0-0-0-26-0-2-0-0-0-0-10-8-0-2-20-4-0,2-0-0-0-0-0-0-0-0-36-0-4-0-2-0-2-4-0-0-10-88-26-0
 2016-3-2,406,268,22-2-0-0-0-0-0-0-12-2-0-0-12-0-0-0-2-2-6-44-44-2-0,18-0-0-0-0-0-0-0-6-4-0-0-0-0-0-4-18-2-2-40-42-0-0
 2016-3-3,62,94,0-0-0-0-0-0-0-0-0-0-0-0-2-0-0-0-12-20-6-0-0-10-0,0-0-0-0-0-0-0-0-0-0-0-0-2-0-0-0-14-20-8-6-0-12-0
 2016-3-4,368,324,0-0-0-0-0-0-0-0-0-0-0-6-18-8-10-0-2-0-0-106-4-152-0,0-2-0-0-0-0-0-0-0-0-0-0-20-4-2-0-0-0-0-58-4-146-0
 2016-3-5,274,344,26-0-0-0-0-0-0-2-4-0-2-30-4-0-2-0-0-0-0-6-0-50-0,28-0-0-0-0-0-0-0-0-0-2-54-4-0-2-0-2-0-0-4-0-96-0
 2016-3-6,148,174,0-0-0-0-0-0-0-0-0-0-0-2-0-0-32-10-0-42-2-12-2-36-0,0-0-0-0-0-0-0-0-0-0-0-2-0-0-56-20-0-38-0-6-2-34-0
 2016-3-7,494,518,0-0-0-0-0-0-0-0-0-0-2-42-34-2-4-2-0-0-2-56-46-4-0,0-0-0-0-0-0-0-0-0-0-6-36-36-2-8-6-0-0-12-74-34-14-0
 2016-3-8,172,210,6-0-0-0-0-0-0-0-0-2-0-2-8-0-0-0-28-0-0-0-6-88-0,16-0-0-0-0-0-0-0-0-0-0-0-6-0-0-0-34-0-0-0-0-106-0
 2016-3-9,194,246,2-0-0-0-0-0-0-0-0-0-0-0-0-2-0-0-2-0-0-22-102-60-0,4-0-0-0-0-0-0-0-0-2-0-0-0-4-0-0-0-2-0-12-134-80-0
 2016-3-10,100,140,0-0-0-0-0-0-0-8-0-0-2-0-2-0-14-0-14-18-8-6-16-10-0,4-0-0-0-0-0-4-2-2-0-2-0-10-2-24-6-20-12-6-0-36-10-0
 2016-3-11,34,46,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-10-10-0-0-0-10-0-0,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-12-8-0-0-0-22-0-0
 2016-3-12,96,88,0-0-0-0-0-0-0-2-4-0-14-0-0-0-0-0-0-8-0-0-64-4-0,0-0-0-0-0-0-0-2-8-0-20-0-0-0-0-0-0-0-0-6-48-4-0
 2016-3-13,188,258,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-16-16-12-70-74-0,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-4-40-18-24-84-88-0
 2016-3-14,284,230,0-0-0-0-0-0-0-0-0-0-12-6-0-12-0-66-0-0-42-6-66-16-0,0-0-0-0-0-0-0-0-0-0-4-0-0-10-0-36-0-0-36-0-68-22-0
 2016-3-15,60,78,0-0-0-0-0-0-2-0-0-0-0-0-0-0-0-0-4-0-2-22-18-12-0,0-0-0-0-0-0-0-4-0-0-0-0-0-0-0-0-8-0-6-20-24-10-0
 2016-3-16,106,122,0-0-0-0-0-0-0-0-0-0-2-10-0-0-2-0-42-42-0-0-4-2-0,0-0-0-0-0-0-0-0-0-0-0-14-0-0-0-0-56-50-0-0-0-0-0
 2016-3-17,56,68,0-0-0-0-0-0-0-0-2-0-12-0-0-0-0-2-0-0-0-0-20-20-0,0-0-0-0-0-0-0-0-2-0-10-0-0-0-0-0-0-0-0-4-24-28-0
 2016-3-18,16,20,0-0-0-0-0-0-0-0-0-0-0-0-2-0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-12-0-0-0-0-0-0
 2016-3-19,182,124,12-0-0-0-0-0-0-0-0-0-0-0-2-0-0-0-20-0-0-0-0-10-0,10-0-0-0-0-0-0-0-0-2-0-0-0-0-2-0-8-0-0-0-2-8-0
 2016-3-20,134,146,0-4-0-0-0-0-0-0-0-0-0-0-28-30-0-0-0-0-0-0-30-30-0,0-0-0-0-0-0-0-0-0-0-0-0-40-24-0-0-0-0-0-0-32-38-0
 2016-3-21,350,460,0-0-0-0-0-0-0-0-0-6-58-8-0-0-38-0-22-50-42-10-38-78-0,0-0-0-0-0-0-0-0-0-8-72-4-12-2-36-0-50-90-56-0-48-82-0
 2016-3-22,164,216,0-0-0-0-0-0-0-0-0-0-0-0-0-0-6-0-12-2-0-26-18-44-0,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-28-0-0-30-26-52-0
 2016-3-23,56,48,0-0-0-0-0-0-0-0-0-2-8-0-0-0-0-4-0-0-4-0-4-10-0,0-0-0-0-0-0-0-0-0-4-0-0-0-0-0-8-0-0-0-0-6-10-0
 2016-3-24,16,16,0-0-0-0-0-0-0-0-0-2-4-0-8-0-0-0-0-0-2-0-0-0-0,0-0-0-0-0-0-0-0-0-8-2-0-0-0-0-0-2-0-0-0-0-0-0
